行政区,町名,丁目,番地,該当地域名１,該当地域名２,該当地域名３,該当地域会館名１,該当地域会館名２,該当地域会館名３,該当地域会館住所１,該当地域会館住所２,該当地域会館住所３,該当地域電話番号１,該当地域電話番号２,該当地域電話番号３,その他１
西区,安治川,１丁目,１番,本田（ほんでん）,九条北（くじょうきた）,―,本田連合会館,九条北連合会館,―,大阪市西区本田３－５－１４,大阪市西区九条南４－１９－２,―,０６－６５８１－６２９２,０６－６５８２－８２８２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,安治川,１丁目,２番,九条北（くじょうきた）,―,―,九条北連合会館,―,―,大阪市西区九条南４－１９－２,―,―,０６－６５８２－８２８２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,安治川,２丁目,,九条北（くじょうきた）,―,―,九条北連合会館,―,―,大阪市西区九条南４－１９－２,―,―,０６－６５８２－８２８２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,阿波座,１丁目,,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,阿波座,２丁目,,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,１番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,２番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,３番,明治（めいじ）,西六（さいろく）,―,明治会館,西六福祉会館,―,大阪市西区立売堀２－２－１７,大阪市西区新町２－１３－１,―,０６－６５４１－０６８０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,１丁目,４番,明治（めいじ）,西六（さいろく）,―,明治会館,西六福祉会館,―,大阪市西区立売堀２－２－１７,大阪市西区新町２－１３－１,―,０６－６５４１－０６８０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,１丁目,５番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,６番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,７番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,８番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,９番,明治（めいじ）,西六（さいろく）,―,明治会館,西六福祉会館,―,大阪市西区立売堀２－２－１７,大阪市西区新町２－１３－１,―,０６－６５４１－０６８０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,１丁目,１０番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,１１番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,１２番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,１丁目,１３番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
